category,display_name,id,concept_type,source,source_id
,Adult Obstructive Sleep Apnea Symptoms,icdadultosa_symptoms,choices,,
,Adult Obstructive Sleep Apnea History,icdadultosa_history,choices,,
,Adult Obstructive Sleep Apnea PSG 5 Event,icsdadultosa_psg5events,sum,,
,Adult Obstructive Sleep Apnea PSG 15 Event,icsdadultosa_psg15events,sum,,
